Countries,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,3.40336025,3.275090067,4.535568066,4.240358744,6.290993072,3.618809341,2.988067744,4.521493648,4.254972411,6.610062893,28.06559692,14.87925498,12.28670699
Albania,97.18512111,98.93252595,100.5986159,111.5966543,85.09246575,87.16782007,75.87704918,89.38587849,97.32268371,97.13665595,92.77176547,87.47690812,87.69005848
Algeria,9.641579436,6.001172755,25.09515548,7.429902809,13.2626506,14.96157451,8.576712512,13.98665421,19.48147161,17.48507065,21.78032372,16.92724314,51.32085576
Angola,1.659032258,1.788787879,4.501515152,2.260606061,3.66,3.305,8.258823529,5.47225,8.43,11.98382979,13.55808511,14.44897959,6.955306122
Antigua and Barbuda,13,27.25,7.5,6,4.5,0.5,3.5,13.25,3,3.25,4.5,8.5,8
Arab World,57.18838487,64.25948136,64.08598314,68.81264283,59.43072533,61.65731298,64.87866919,56.93664887,62.09016682,71.54263716,83.82677576,74.88089612,76.92618974
Argentina,30.2339387,41.84670629,45.30911454,36.40231021,41.41125839,49.25671781,35.21496838,22.98477779,39.18080093,41.71741317,35.30910097,36.14567118,35.95382653
Armenia,34.52307692,22.9978022,31.65054945,22.69230769,27.8449989,15.33289095,18.15053286,29.66622163,24.20289855,27.36865539,33.70428189,45.19634092,42.26815642
Australia,47.57003285,46.20960884,50.93940473,44.85445933,43.46012784,46.81468056,42.60442484,36.25043844,46.31648186,45.27874491,46.61972279,49.20000433,54.18585088
Austria,234.0238267,297.138468,131.3427101,135.7159412,130.6992448,110.2667151,110.0452885,83.40626372,108.4873149,103.3892321,103.6823851,103.7742817,103.9431827
Azerbaijan,10.43378871,7.642099538,11.9747922,13.36046007,13.33894531,10.63754045,20.9375336,13.41141942,9.954885622,15.57458769,17.97026571,17.60349037,26.25071373
Bangladesh,188.6391615,160.2668935,170.6713742,197.7487043,193.1901015,184.4110798,200.0640779,188.8528733,212.9639327,255.764522,260.4432855,254.6001563,279.2202373
Barbados,45.85714286,79.71428571,214.2307692,109.0769231,139,133.6153846,135.1538462,77,135.0833333,96.27272727,173.5454545,109.7272727,46.63636364
Belarus,135.9864672,135.6257856,146.9178082,167.7011909,231.967509,218.3547744,237.4184191,281.1147186,270.4607046,303.8885874,271.3871786,255.6687715,214.9382716
Belgium,327.8918269,313.8371257,339.8559524,329.143535,316.4524941,316.3933254,328.9123223,246.25,279.1702638,286.1963636,294.0373599,286.6139706,287.1566707
Belize,367.7285714,382.3714286,78.65714286,81,89.25714286,60.87142857,49.75714286,121.4383562,58.01333333,234.7066667,137.0384615,172.7820513,159.0897436
Benin,16.36666667,0.802264151,0.052727273,0.454074074,0.0132,0.2456,0.308076923,6.67755102,8.99015748,4.302325581,9.905555556,4.778888889,12.20518519
Bhutan,9.756756757,9.891891892,7.398734177,7.556886228,7.620621282,9.009537784,11.66,23.96,10.03976143,13.05389222,10.68862275,15.18962076,15.1497006
Bolivia,4.042727273,3.675583381,5.064263761,6.472937467,3.963636364,5.88731719,4.708860759,5.155365963,7.255527112,8.017058552,8.081978475,9.958371247,9.070318614
Bosnia and Herzegovina,32.69809428,17.65683382,58.442607,24.63707317,15.48393379,21.30039139,11.87103175,72.71213641,81.52988048,103.3781095,98.59521436,91.56732673,109.1562809
Brazil,120.8408396,152.3052418,150.9459511,120.1003514,124.0318675,165.1697374,141.838605,118.2567433,156.1898725,183.014805,181.7328081,175.6601467,175.1958959
Brunei,336,102,151.5,308.5,66,377,112.6666667,103,431.75,117.5,113.5,44.6,141.8
Bulgaria,113.7684054,147.327415,80.85179596,74.23195714,73.93997446,102.0094003,111.2428756,104.600445,97.05335844,133.0824615,121.7901718,136.3354412,133.0803213
Burkina Faso,0.427659574,10.39137255,12.54065217,15.24367347,13.40425532,10.10102041,9.5345,9.451929825,9.4285,10.70245614,10.99766667,15.28290323,15.77083333
Burundi,1.343813387,0.304040404,1.111675127,3.546025105,3.343333333,2.018823529,2.171111111,1.861052632,3.627368421,5.635,5.699090909,7.3675,10.88
Cambodia,5.825675676,3.857837838,5.365945946,8.105135135,8.002702703,8.99027027,7.641351351,10.09567568,12.11789474,16.28421053,17.90684211,15.50631579,29.73421053
Cameroon,9.768624161,8.155201342,11.06275168,7.998993795,9.032198558,8.622840852,6.557437531,7.002850914,9.239032258,11.03596774,9.977903226,6.674032258,9.328709677
Canada,57.63016664,58.92761065,54.63277483,61.82127866,46.99494591,68.60414475,63.96407104,62.20875736,69.17558817,84.07826755,77.99880474,88.71196349,89.43390199
Caribbean small states,108.3950131,84.66580311,73.01572739,57.69193385,87.64091742,47.93180196,114.6178747,58.02754821,81.27398206,75.46217331,85.28314917,76.83333333,71.43283582
Central Europe and the Baltics,91.30267906,102.4526747,100.5654141,106.6059681,108.3578432,120.1232188,112.6179625,96.5654751,113.3360107,115.1908884,119.8946019,122.8298941,137.4369712
Chile,307.7733333,330.1426667,491.3526667,434.7613793,475.8140741,534.1006339,687.2400915,612.4167939,373.2486231,492.5611238,411.0795012,428.2024446,343.3400558
China,377.4581659,393.9572068,413.7240143,423.4091759,452.0460902,469.352445,482.8807947,498.8500743,515.4089722,533.4067781,549.1219789,557.0492811,565.2546831
Colombia,309.0022614,324.809629,320.9629133,445.1332675,571.2496062,544.2912913,486.731694,497.268169,585.1917187,745.2969735,747.1153359,648.6373365,708.6043457
Costa Rica,537.01,847.2904762,726.6952381,980.8761905,826.7047619,790.195,707.48,753.2363636,544.9911111,712.5431034,744.5043103,699.887931,870.4739336
Cote d'Ivoire,31.01892857,29.34535714,27.21892857,17.78035714,22.7725,23.99,18.21172414,15.30758621,32.08586207,19.40275862,25.47862069,36.13137931,40.20655172
Croatia,256.988345,292.8020833,312.5844156,294.5085911,380.7877412,410.0633803,495.2283025,164.6792583,297.3098187,311.0114866,290.1070168,234.890461,250.9948352
Cuba,38.104792,16.50266525,18.53022126,22.38017429,32.11942763,35.69913238,43.57806533,17.60330818,29.89332151,42.02155847,47.4381958,43.01089918,58.21243523
Cyprus,159.65,158.2321429,131.4070796,108.9756098,109.026087,109.8360656,112.0145631,181.4499425,202.7723971,151.202381,223.974359,201.1083123,175.8646617
Czech Republic,81.67915763,91.57430965,87.00808458,89.55500156,94.27357901,100.1696401,87.26411543,88.51698113,95.84578997,100.5764855,127.6651885,128.2530962,128.8113268
Denmark,97.55843585,136.4002648,144.7844866,137.1170669,138.5811674,142.4119688,147.6761032,102.9181407,113.7121024,112.8487395,112.4313482,116.6227779,120.5028783
Dominica,86.6,148.2,198.6,207.8,134.2,276,44.6,58.16666667,52.16666667,150.1666667,97.66666667,116,78.83333333
Dominican Republic,73.39309577,52.24268293,59.17317073,58.2402439,80.46707317,94.75731707,80.39875,80.56,107.00625,94.15625,74.46375,79.7825,88.16875
Early-demographic dividend,83.07619121,88.28387228,94.83050939,99.37279898,105.1071892,108.9080784,109.5142911,115.3671491,122.1714076,124.4121647,118.9803024,117.2444628,123.3712421
East Asia & Pacific,246.1488782,258.3475183,268.3237929,269.5404826,282.7520069,301.163994,301.1211566,302.5462364,319.3575395,321.4796444,329.5842384,337.0272957,344.279284
East Asia & Pacific (IDA & IBRD),289.8164583,304.4950492,316.6184083,319.1561107,338.8721237,356.0467638,360.5210687,369.2214698,383.039721,393.1213592,401.1811013,410.1637021,419.2958072
Ecuador,167.6220588,156.8221709,217.5293657,150.8294753,207.7899432,199.1062762,214.1197411,187.2786393,252.070971,275.355196,253.8722885,229.1340034,361.9632505
Egypt,432.5326975,627.7505162,557.5939292,672.8833398,492.1232246,521.7874415,696.5931113,502.8252427,602.9864253,602.8668091,590.5797101,614.6493791,662.5318352
