Countries,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Australia,56.2,54.4,54.8,56.2,56.4,55.1,53.8,54.1,54.6,55.4,55.3,56.5,56.3,55.9,53.9,57.1,56,55.9,53.8,55.6,54.2,53.4,49.9,51.6,52.1,50.4,48.2,48.5,50,49.9,48.4,50.7,45.9,44.6,48.1,45.2,49,48.1,43.9,45,45.6,45.7,46.9,46.8,46.8,46.4,47.4,47,45.9,46.1,46.5,45.9,46.1
Austria,40.8,42.9,40.1,39.9,41.7,40.7,39.4,42.3,36.4,41.2,41.2,40,45.2,46.3,38.2,41.7,41.6,41.2,41.7,45.8,43.7,44.3,41.7,41.7,40,40.9,40.9,43.4,42.3,43.7,44,43.7,42.3,49.1,48,47.7,46.7,46.2,46.2,46.5,45.5,44.9,46.3,47.5,49.6,48.8,46.9,48.8,46.8,48.3,47.7,47.3,45.3
Canada,45.7,48.1,46.7,45.6,47.2,49.5,48.6,48.1,50,49.6,49.1,49,48.5,46.5,44.6,47.8,47.5,46.2,44.8,43,42.9,41.1,41.9,44.3,44.4,46.3,46.9,42.8,41.1,42.7,42.1,43.6,45.5,46.5,47.6,49.6,51.5,52,49,50.6,52.9,55.7,55.9,54.3,53.8,52.8,53.3,51.3,49.5,46.1,50,48.2,48.3
Chile,27.6,35.2,36.1,32.4,30,28.8,30.7,30,37.6,36.9,39.2,40.5,32.4,32.5,30.5,34.5,36.2,38,37.8,38.2,37.3,35.2,33.8,36.2,33.5,36.1,37.7,36.9,38.7,38.8,38.8,43.3,43.1,43.6,44.5,45.3,46.1,46.7,47.7,45.8,44.4,45.3,42.6,43.6,43.6,43.5,47.2,47.6,47.6,48.6,48.7,48.4,47.8
Denmark,51.4,53.5,52.4,51.2,53.1,53.5,53.3,52,52.6,54.4,53,51.4,54.8,54.3,50.8,53.6,45.9,48.1,46.1,47.5,47.7,49,48.9,45.7,45.9,45.4,46.1,44.1,42.4,44.6,48,49.2,51.6,51.9,50.4,48.3,53.4,50.6,49.5,53.7,52,57.6,57.7,57.9,50.8,54,62.7,53.5,52.4,53.6,53.3,55.5,55.5
Finland,45.2,41.5,32.6,42.9,43.7,46.8,45.5,46.5,49.7,50.9,49.6,49.9,51.1,48.6,44.8,44.5,41.4,38.2,33.4,38.2,36.5,36.5,37.1,35.3,37,34,35.4,38.6,41,42.3,40.6,43.4,44,40.3,40,38,38.4,36.7,36.7,38.5,35,34.8,34.3,34.8,34,33.4,34.5,29.9,33.8,30.8,31.3,31.7,31.7
France,30.5,32.8,33.1,35.3,33.4,34.9,39.9,33.7,38.1,39.9,42.1,39.4,44,42.5,39.4,39.7,38.6,39.5,35.5,33.3,35.8,33.8,35.9,35.1,34.9,34,37,36.1,35.8,36,36.4,37.7,37,36.9,37.3,38.7,39.1,40.2,41,39.7,40.8,41.3,40.4,41.2,41.7,37.9,37.3,36.3,40.4,38,37.7,38,39.2
Germany,34.4,34.2,34.7,36,34.7,36.2,35.2,37.5,36.7,38.6,39.3,40.1,42.1,41.5,40.1,42.5,40.2,42.4,43.1,42.9,43.6,44.1,43.5,41.7,43.4,44.8,43.3,44,42.2,35.2,43.9,45.9,42.5,40.4,44.2,40.1,42.2,40.8,41.3,42,45.8,45.2,48.4,49.3,50.9,48.2,46.1,49.5,48.1,49.9,48.7,47.4,48.5
Greece,15.3,15.2,14.1,16,18.4,20.8,21.1,21.1,19.8,22.1,24.5,25,29.2,30.2,28.8,31,31.9,33,34.1,26.8,32.1,32.6,32.8,34,34.9,34.7,35.4,34.6,36.9,31.9,30.7,32.5,30.8,31.6,31.4,30.5,27.1,31.8,32.3,33,34.5,34.4,35.1,36.5,34,28.6,31.4,31.1,27.6,28.2,27.4,29.7,29.3
Hungary,30.1,30.7,31.5,32.6,32.8,34.3,35,34.6,37.4,36.6,37.7,38.8,40.5,41.2,43.2,34.8,38.3,39.9,37.3,41.3,38.7,41.5,39,37.6,39.1,39.5,44.1,37.7,43.7,43.3,39.9,45.2,40.2,39.3,42.8,45.6,45.7,47.8,43.4,38.2,37.9,37.2,37.6,37.8,36,37.1,35,35.9,34.3,34.3,35.3,34.4,34.7
Iceland,59.6,60,62.7,60.7,60.3,67.1,62.2,60.2,57.3,56.5,53.2,49.8,51.6,50,45.2,51.4,60.3,61.2,62.1,55.8,57.9,54.9,56.2,55.8,54.2,55.9,58.4,59.2,57.4,55.8,57,56.9,56.9,59.5,60.7,58.2,60.7,58.4,56.3,53.7,51.7,52.8,52.6,50.3,47.7,47,46.5,46.7,48.4,48.8,47.3,48.2,48.2
Ireland,53.3,50.8,52.6,52.4,53.6,53.6,55,55.9,55,55,56.4,50.5,56.2,53.4,55.2,51.5,52.1,55.3,51.6,49.1,45.1,46.6,44.6,46.5,46.1,45.6,39.9,39.9,40.5,47.5,43.4,47.7,49.2,49.3,45.9,40.2,40.2,38.8,40.4,43.7,43,33.3,38.2,37.6,38,39.6,42.4,43.7,39.2,38.3,49.2,48.6,46
Israel,35.4,36.1,35.8,37,38.7,37.7,38.1,39.7,40,41.9,41,40.8,40.7,39.3,37.6,35.3,36.2,36.6,36.7,36.5,35.8,35.8,36.2,38.6,39.4,40.7,41.5,40.8,42.5,43,43.6,43.6,42.8,43.9,45.3,49.9,51.3,51.7,52.7,52.8,43.9,44.4,39.2,27.3,26.8,25.8,26.1,25.3,26.2,27.6,27.5,28.1,27.8
Italy,25.1,25.5,26.6,27.8,27.4,27.9,28.7,28.9,30.3,30.8,30.9,33.3,35.3,36.2,29.7,32.8,32,32.8,34.1,35.1,35,32,30.9,29.9,28.2,28.7,28.7,28.8,29.1,30.3,31,30.8,30.6,30.1,30.4,30.8,32.2,32.5,29.4,30.9,31.9,31.3,31.3,32.1,31.9,29.9,29.7,29.7,29.6,30,30.8,31.5,32.1
Japan,18,19.7,19.1,21.1,22.6,23.9,26.8,29.3,30.6,35.1,32.2,32.8,29.4,30.2,27.2,28.3,30.5,32.4,34.3,33.4,28.2,33.5,32.5,33.1,33.5,34.2,34.1,34.5,35.1,34.1,32.8,32.4,31.8,31.5,30.8,30.8,30.3,30.6,30.1,28.6,29.5,29.8,30.1,30.1,28.7,27.6,30.1,28.4,27.6,25.3,27.9,27.5,27.1
Korea,1.9,1.9,1.7,1.7,1.8,2.4,3.7,5.1,7,7.6,8.4,8.5,9.3,8.3,7.8,9.3,11.9,15.1,17.2,15.7,14,15.6,18.1,20.5,21.5,24.3,25.8,29,31.7,32.2,33.5,33.6,31.9,30.7,31.5,32,33.8,29.5,33.2,35.2,36.5,37.8,37.6,37.5,38,37.8,36.5,36.5,34.7,38.1,36.5,37.7,38.4
Mexico,25.1,26.5,26.6,27.9,28.4,29.2,30.9,32.9,34.5,36.3,34.3,36.1,38.9,38.5,43.6,42,40.9,43.8,45,45.4,45.3,43.7,40.1,46.1,45.3,46.1,44.3,44.4,47.8,51.6,48.2,48.7,49.3,48.1,47.3,47.9,44.8,46.3,46.8,48.2,49.9,50.1,50.4,49.7,46.4,48.4,48.5,48.9,49.8,49.7,49,50.7,48.5
