Countries,1870,1880,1890,1900,1913,1929,1938,1950,1960,1970,1980,1990,2000
Australia,56.2,53.3,50.5,48.1,44.7,45.5,45.0,39.6,39.6,39.6,39.2,40.1,40.55
Belgium,72.2,69.3,66.5,64.2,59.5,48.2,48.0,48.0,42.5,39.9,38.5,36.6,36.9
Canada,57.2,59.0,60.9,62.6,57.9,49.0,47.2,42.3,40.7,39.7,38.5,38.0,39.4
Denmark,69.9,64.6,59.9,56.0,55.8,48.5,47.6,46.0,44.4,39.0,37.5,35.0,38.5
France,66.1,66.0,65.9,65.9,62.0,48.0,39.0,44.8,45.9,44.8,40.7,39.9,35.75
Germany,67.6,66.3,65.1,64.0,57.0,46.0,48.5,48.2,45.6,43.8,41.6,39.0,39.9
Ireland,63.8,62.0,60.2,58.6,56.4,46.6,48.2,45.0,45.0,42.7,41.1,42.1,39.35
Italy,63.3,63.4,63.6,63.8,62.4,48.8,48.5,47.8,42.4,42.9,42.5,39.6,38.4
Netherlands,65.0,63.4,61.9,60.5,58.6,48.1,48.5,49.2,49.2,45.1,40.8,34.0,33.85
Spain,64.7,62.7,60.8,59.1,56.7,48.5,47.0,47.0,47.0,47.0,40.0,38.9,35.45
Sweden,69.6,64.6,59.9,56.0,56.0,48.0,46.3,46.8,43.4,43.4,37.7,38.2,37.7
Switzerland,65.4,63.1,60.9,59.0,56.3,48.5,46.3,47.5,46.1,46.1,43.8,41.6,41.6
United Kingdom,56.9,56.6,56.3,56.0,56.0,47.0,48.6,45.7,44.7,42.0,40.0,42.4,40.45
United States,62.0,61.0,60.0,59.1,58.3,48.0,37.3,42.4,40.2,38.8,39.1,39.7,40.25
